gentau1_vis_px,gentau1_vis_py,gentau1_vis_pz,gentau1_vis_e,gentau1_vis_pt,gentau1_vis_eta,gentau1_vis_phi,gentau1_vis_m,gentau2_vis_px,gentau2_vis_py,gentau2_vis_pz,gentau2_vis_e,gentau2_vis_pt,gentau2_vis_eta,gentau2_vis_phi,gentau2_vis_m,genmet,genmet_px,genmet_py,genmet_phi,boson_mass,event_weight,class_id
0.6552477,-14.508175,4.8411636,15.31876,14.5229645,0.32746163,-1.525663,0.5577201,0.106728435,4.2890816,5.429928,6.937477,4.290409,1.0572993,1.5459177,0.48668346,3.7187173,-2.2421372,2.9667623,2.2179687,90.380394,1.0,4100.0
9.0408325,-34.92015,-15.890318,39.437393,36.071507,-0.42739186,-1.3174587,1.285378,-9.630583,8.943882,-16.81372,21.357277,13.143103,-1.0657549,2.3931477,0.8312179,16.776608,-16.669588,1.8919286,3.0285804,90.3167,1.0,4100.0
18.19471,-3.6996527,-37.676006,42.01882,18.567038,-1.456613,-0.20060188,1.1683462,-4.2096257,3.6428385,34.55205,35.0157,5.566976,2.5251896,2.4282491,1.124211,3.866459,3.7224443,-1.0454245,-0.27379075,94.7397,1.0,4100.0
-3.5717578,20.73356,-88.61359,91.08458,21.038963,-2.1448598,1.7413913,1.1810716,8.930555,-34.987556,-138.0938,142.7448,36.109333,-2.0512002,-1.3208832,1.5154678,19.12284,-2.7559555,18.923206,1.7154185,88.68871,1.0,4100.0
-33.391525,-10.6626,-91.98929,98.45174,35.052605,-1.6924385,-2.8325062,1.4248697,29.950134,5.9781437,-26.858517,40.701557,30.540936,-0.79349655,0.19701402,1.5773684,2.3421888,-2.0360925,-1.1576595,-2.6246047,92.076416,1.0,4100.0
-4.2918887,-12.804148,-93.81101,94.78029,13.504314,-2.636561,-1.8942217,0.65619737,-7.139194,36.012207,-24.417854,44.091927,36.71304,-0.6238414,1.7665026,0.1386853,5.8718915,-3.0155418,-5.038414,-2.1101196,92.35396,1.0,4100.0
5.7072306,28.507938,67.02511,73.065674,29.073614,1.5724131,1.3732104,0.9759675,-9.183282,-33.725235,111.16079,116.53374,34.95317,1.8739643,-1.8366479,1.2909843,5.2015796,-0.55470383,5.171918,1.6776409,96.686066,1.0,4100.0
9.940671,-3.9362974,15.897638,19.158958,10.691649,1.1874863,-0.37703523,0.13931082,14.218706,12.1060095,-32.497047,37.49523,18.674236,-1.3210292,0.7053146,1.0522518,30.652403,27.60492,13.324348,0.44969603,96.46345,1.0,4100.0
1.3079394,18.127405,-26.209076,31.91375,18.17453,-1.162198,1.4987686,1.1217108,-4.2066793,-15.832855,-38.78324,42.107376,16.38217,-1.5968286,-1.8304895,0.7182358,44.1832,-14.239679,-41.825672,-1.8989409,84.2116,1.0,4100.0
20.758308,6.649843,14.6611395,26.288109,21.797426,0.6300824,0.31001687,0.99391735,-27.981743,-16.122765,116.367744,120.77593,32.294296,1.9937328,-2.6188655,1.5660163,1.974994,1.6567402,-1.0750875,-0.5756138,89.19004,1.0,4100.0
4.7714796,-41.636658,-106.36046,114.32489,41.90917,-1.6612085,-1.456696,1.1203196,2.1508844,25.508436,-88.668755,92.296906,25.598957,-1.9557178,1.4866748,1.1243259,15.540278,2.4119658,15.35196,1.414959,90.96235,1.0,4100.0
